case_id,label,confidence,rationale
PR-BFFFE4FD5EFB,WEAK,4,"Anti-LYPD3 CAR-T is directed at solid tumors (squamous cell carcinoma), with blood cancers mentioned only as background context."
PR-914FA53B6CE2,WEAK,4,"Anti-ALPP CAR-T therapy targets solid tumors (ovarian, endometrial, testicular, etc.) rather than hematological/blood cancers."
PR-C2E9DCA827A3,RELEVANT,4,237 CAR-T cell therapy targeting Tn-glycopeptides demonstrates specific antitumor activity against leukemia (Jurkat) cells.
PR-7A27B5AE90C2,RELEVANT,5,"Directly covers manufacturing of anti-BCMA CAR-T cells, a primary therapy for hematologic malignancies (multiple myeloma)."
PR-590B7CFCD565,RELEVANT,5,Directly claims engineered CAR-T cells with inactivated CBL/CBL-B to improve efficacy in hematological malignancies including B-cell leukemia.
PR-FBE9CBE3E7CD,RELEVANT,5,"Directly claims enhanced CAR-T cell therapies targeting CD19 for acute and chronic leukemias (BALL, TALL, ALL, CLL)."
PR-2A04A0E02B9C,RELEVANT,5,"Claims CD74-targeted CAR-T cell therapy specifically for treating lymphoma, a blood cancer."
PR-DE04261CBD34,RELEVANT,5,Directly claims bispecific CD19/CD22 CAR-T cell therapy for high-risk and relapsed pediatric acute lymphoblastic leukemia (ALL).
PR-4B9A8B5D855E,RELEVANT,5,Claims bolt-on equipment for cost-effective capture of CO2 and multi-pollutant emissions from industrial flue gases.
PR-20BABA8B0FB1,RELEVANT,5,Directly claims integrated energy storage and cryogenic carbon capture systems for power plant flue gases and industrial process streams.
PR-CA514E5A2C89,RELEVANT,5,Directly claims electrolytic carbon dioxide capture and mineral storage methods for industrial emissions from power and industrial plants.
PR-05031DEF513F,RELEVANT,5,Directly claims rare-earth based chemical separation and capture of carbon dioxide integrated into fossil fuel and industrial plants.
PR-F0ABADB3534C,RELEVANT,5,Directly claims carbon capture and storage (CCS) methods using metal oxide solutions to remove CO2 from flue gas and vent streams.
PR-7B212833281D,WEAK,4,Focuses on direct air capture (DAC) integrated into building infrastructure rather than point-source industrial emission capture.
PR-5A8662DBB591,RELEVANT,5,"Directly covers post-combustion calcium looping carbon capture systems integrated with industrial flue gases from power, lime, and cement plants."
PR-18847CE7A43B,RELEVANT,5,Directly claims industrial-scale CO2 capture coupled with compressed air energy storage systems from mixed gas streams.
PR-FF320E3146E7,RELEVANT,5,Directly claims CRISPR/Cas gene-editing systems for preventing and treating autosomal dominant genetic diseases and single-nucleotide mutations.
PR-7447D8BDAC98,RELEVANT,5,Directly claims CRISPR-Cas mediated genetic correction of mutated genes for treating monogenic disorders like Duchenne muscular dystrophy.
PR-0A97C1A8E8E6,RELEVANT,4,Claims a bacterial delivery platform for introducing CRISPR/Cas gene-editing systems into eukaryotic cells to treat genetic disorders.
PR-5B2F757DA285,IRRELEVANT,5,"Keyword false match on 'diseases'; claims CRISPR editing in citrus crops against plant bacterial infection (Huanglongbing), unrelated to human genetic disease."
PR-7DC03252DC00,RELEVANT,5,Directly claims in vivo CRISPR gene editing complexes for correcting BAG3 gene mutations to treat genetic myopathies.
PR-E4CD959B00B5,WEAK,4,Broad platform patent covering CRISPR guide RNA architecture and viral polynucleotide cleavage without specific targeting of genetic diseases.
PR-40BCB4AF042E,RELEVANT,5,Foundational patent claiming eukaryotic CRISPR-Cas systems for altering gene expression to treat extensive classes of genetic diseases.
PR-A49EC063ABBB,RELEVANT,5,Directly claims nuclear CRISPR/Cas9 editing to correct transcripts associated with specific genetic disorders such as Cystic Fibrosis and Hurler syndrome.
PR-A9EA0E8213B1,RELEVANT,5,Directly claims hybrid food products containing cultivated animal cells and methods of production for the food industry.
PR-A1181409B306,RELEVANT,5,Directly claims mixed food compositions and preparations incorporating cell-cultured meat to enhance nutritional and organoleptic properties.
PR-32DF7220F833,RELEVANT,5,Directly claims packed-bed bioreactor systems and methods specifically designed for producing cultivated meat mass for food products.
PR-0ACC84C9E9D3,RELEVANT,5,Directly claims cultured meat-containing hybrid food formulations (such as cultured chicken sausages) for food industry consumption.
PR-394E760787A4,RELEVANT,5,Directly claims extruded food compositions comprising cultivated animal cells and industrial methods for producing cultured meat foods.
PR-8F37ECA6A118,RELEVANT,5,Directly claims cultured meat-containing hybrid foodstuffs with tailored organoleptic properties and myoglobin content.
PR-328914FE78C7,RELEVANT,5,Directly claims methods for producing hybrid food products by combining plant substances with cultivated animal cells.
PR-DF747D89F44A,RELEVANT,5,Directly claims inkjet printing methods for graphene-based conductive films on flexible substrates for flexible electronics.
PR-EDD88890B876,RELEVANT,5,Directly claims graphene-based flexible electronic devices with liquid metal interconnects to prevent interfacial cracking.
PR-BE0DD5F48B8C,RELEVANT,5,Directly covers wearable devices incorporating printed graphene circuitry and flexible sensors for physiological monitoring.
PR-A8FA15380803,RELEVANT,5,"Directly claims highly flexible, electrically conductive graphene films for flexible electronic sensor and optoelectronic applications."
PR-20B8B305276A,RELEVANT,5,Directly claims graphene-based multi-junction photovoltaic devices fabricated on flexible conductive substrates.
PR-71B8444ECAFC,RELEVANT,5,Directly claims high-resolution screen and gravure printing methods for graphene films dedicated to flexible printed electronics.
PR-16A6620E09C0,RELEVANT,4,Claims laser-assisted preparation of graphene and nanohybrid films for use as electrodes in flexible electronic devices.
PR-C39FC36C8752,RELEVANT,5,Directly claims methods for transferring CVD monolayer graphene onto flexible glass substrates for flexible electronics.
PR-C7383F67A81B,RELEVANT,5,Directly claims modified mRNA vaccine compositions and delivery systems configured to induce anti-tumor immune responses.
PR-99C6F837BC29,RELEVANT,5,Directly claims chemically generated tumor-antigen mRNA vaccines for dendritic cell stimulation and cancer immunotherapy.
PR-604AF317A77A,RELEVANT,5,Directly claims mRNA cancer vaccine constructs encoding tumor antigens to induce robust cellular and humoral anti-tumor responses.
PR-182D85DF4F8E,RELEVANT,5,Directly claims personalized LNP-formulated multi-neoantigen mRNA vaccines tailored to tumor mutational profiles for cancer immunotherapy.
PR-CE0F90A47335,RELEVANT,5,Directly claims personalized mRNA cancer vaccines encoding multiple mutanome neoantigens tailored to subject HLA types.
PR-83D58944CB97,RELEVANT,5,Directly claims therapeutic regimens and dosing methods for administering lipid nanoparticle-formulated mRNA cancer vaccines.
PR-B8A08EE9F438,RELEVANT,5,Directly covers mRNA cancer vaccines and combination regimens with other therapeutic agents to enhance anti-tumor immunity.
PR-2D34C45E36BB,RELEVANT,5,Directly claims mRNA cancer vaccines formulated for combination therapy with other anti-cancer therapeutic agents.
PR-422DCBCFD732,RELEVANT,5,Directly claims halide perovskite solar cell architectures and low-cost scalable synthesis for utility-scale power generation.
PR-C4BA496745CB,RELEVANT,5,"Directly claims large-area perovskite solar cell modules, interconnection, and grid-connection packaging for power generation."
PR-5105648F232B,RELEVANT,5,Directly claims encapsulated perovskite solar cells with maximum power point tracking control circuitry for power generation.
