case_id,corpus,topic,action,reason,technology_anchor,application_tokens,technology_in_title,technology_in_evidence,application_in_title,application_in_evidence,weak_context_markers,human_label
PR-BFFFE4FD5EFB,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application support appears only in evidence with weak-context marker(s): description of related techniques,therapy,blood|cancer,True,True,False,True,description of related techniques,WEAK
PR-914FA53B6CE2,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application slot has no bounded support: blood cancer,therapy,blood|cancer,True,True,False,False,,WEAK
PR-C2E9DCA827A3,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application slot has no bounded support: blood cancer,therapy,blood|cancer,True,True,False,False,,RELEVANT
PR-7A27B5AE90C2,benchmark_core,CAR-T cell therapy for blood cancers,DROP,technology anchor 'therapy' is absent from title and evidence,therapy,blood|cancer,False,False,False,True,,RELEVANT
PR-590B7CFCD565,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application slot has no bounded support: blood cancer,therapy,blood|cancer,False,True,False,False,,RELEVANT
PR-FBE9CBE3E7CD,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application slot has no bounded support: blood cancer,therapy,blood|cancer,True,True,False,False,,RELEVANT
PR-2A04A0E02B9C,benchmark_core,CAR-T cell therapy for blood cancers,REVIEW,application slot has no bounded support: blood cancer,therapy,blood|cancer,True,True,False,False,,RELEVANT
PR-DE04261CBD34,benchmark_core,CAR-T cell therapy for blood cancers,DROP,technology anchor 'therapy' is absent from title and evidence,therapy,blood|cancer,False,False,False,False,,RELEVANT
PR-4B9A8B5D855E,benchmark_core,carbon capture and storage for industrial emissions,KEEP,technology and application slots are supported in the title,storage,industrial|emission,False,True,True,True,,RELEVANT
PR-20BABA8B0FB1,benchmark_core,carbon capture and storage for industrial emissions,KEEP,technology slot and focused application evidence are supported,storage,industrial|emission,True,True,False,True,,RELEVANT
PR-CA514E5A2C89,benchmark_core,carbon capture and storage for industrial emissions,KEEP,technology slot and focused application evidence are supported,storage,industrial|emission,True,True,False,True,,RELEVANT
PR-05031DEF513F,benchmark_core,carbon capture and storage for industrial emissions,KEEP,technology slot and focused application evidence are supported,storage,industrial|emission,False,True,False,True,,RELEVANT
PR-F0ABADB3534C,benchmark_core,carbon capture and storage for industrial emissions,KEEP,technology slot and focused application evidence are supported,storage,industrial|emission,True,True,False,True,,RELEVANT
PR-7B212833281D,benchmark_core,carbon capture and storage for industrial emissions,REVIEW,application slot has no bounded support: industrial emission,storage,industrial|emission,False,True,False,False,,WEAK
PR-5A8662DBB591,benchmark_core,carbon capture and storage for industrial emissions,DROP,technology anchor 'storage' is absent from title and evidence,storage,industrial|emission,False,False,False,False,,RELEVANT
PR-18847CE7A43B,benchmark_core,carbon capture and storage for industrial emissions,REVIEW,application slot has no bounded support: industrial emission,storage,industrial|emission,True,True,False,False,,RELEVANT
PR-FF320E3146E7,benchmark_core,CRISPR gene editing for genetic diseases,KEEP,technology slot and focused application evidence are supported,editing,genetic|disease,True,True,False,True,,RELEVANT
PR-7447D8BDAC98,benchmark_core,CRISPR gene editing for genetic diseases,REVIEW,application slot has no bounded support: genetic disease,editing,genetic|disease,False,True,False,False,,RELEVANT
PR-0A97C1A8E8E6,benchmark_core,CRISPR gene editing for genetic diseases,KEEP,technology slot and focused application evidence are supported,editing,genetic|disease,True,True,False,True,,RELEVANT
PR-5B2F757DA285,benchmark_core,CRISPR gene editing for genetic diseases,REVIEW,application slot has no bounded support: genetic disease,editing,genetic|disease,True,True,False,False,,IRRELEVANT
PR-7DC03252DC00,benchmark_core,CRISPR gene editing for genetic diseases,REVIEW,application slot has no bounded support: genetic disease,editing,genetic|disease,False,True,False,False,,RELEVANT
PR-E4CD959B00B5,benchmark_core,CRISPR gene editing for genetic diseases,REVIEW,application slot has no bounded support: genetic disease,editing,genetic|disease,True,False,False,False,,WEAK
PR-40BCB4AF042E,benchmark_core,CRISPR gene editing for genetic diseases,DROP,technology anchor 'editing' is absent from title and evidence,editing,genetic|disease,False,False,False,True,,RELEVANT
PR-A49EC063ABBB,benchmark_core,CRISPR gene editing for genetic diseases,KEEP,technology slot and focused application evidence are supported,editing,genetic|disease,True,False,False,True,,RELEVANT
PR-A9EA0E8213B1,benchmark_core,cultivated meat for food industry,REVIEW,application support appears only in evidence with weak-context marker(s): background,meat,food|industry,True,True,False,True,background,RELEVANT
PR-A1181409B306,benchmark_core,cultivated meat for food industry,KEEP,technology slot and focused application evidence are supported,meat,food|industry,True,True,False,True,,RELEVANT
PR-32DF7220F833,benchmark_core,cultivated meat for food industry,REVIEW,application slot has no bounded support: food industry,meat,food|industry,True,False,False,False,,RELEVANT
PR-0ACC84C9E9D3,benchmark_core,cultivated meat for food industry,KEEP,technology slot and focused application evidence are supported,meat,food|industry,True,True,False,True,,RELEVANT
PR-394E760787A4,benchmark_core,cultivated meat for food industry,REVIEW,application slot has no bounded support: food industry,meat,food|industry,False,True,False,False,,RELEVANT
PR-8F37ECA6A118,benchmark_core,cultivated meat for food industry,REVIEW,application slot has no bounded support: food industry,meat,food|industry,True,True,False,False,,RELEVANT
PR-328914FE78C7,benchmark_core,cultivated meat for food industry,REVIEW,application slot has no bounded support: food industry,meat,food|industry,True,True,False,False,,RELEVANT
PR-DF747D89F44A,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,False,True,False,False,,RELEVANT
PR-EDD88890B876,benchmark_core,graphene-based flexible electronics,KEEP,technology anchor is supported; topic has no application slot,electronic,,False,True,False,False,,RELEVANT
